Token,Index
--------,"[['1056868'], []]"
-----------,"[['1012802'], []]"
-.-,"[['1918720', '2360269'], []]"
-_-,"[['1021273', '1041482', '1225977'], ['1225977']]"
.,"[['1012242', '1013248', '1022060', '1029791', '1054685', '1082154', '1082349', '1084336', '1096790', '1361249', '1369776', '1424694', '1436713', '1441707', '1455933', '1473250', '1474842', '1476651', '1703544', '1819974', '1914636', '1941558', '2030664', '2067299', '2131415', '2256039', '2376336', '3000997', '3223711'], ['1022060', '1082154', '1096790', '1424694', '1455933', '1476651', '1914636', '2067299', '2376336']]"
.--,"[['2042063'], []]"
.---,"[['1141406'], []]"
..,"[['1001193', '1007305', '1008145', '1012203', '1012242', '1012747', '1013502', '1014578', '1016300', '1017143', '1023048', '1024217', '1028780', '1029111', '1030052', '1030054', '1030200', '1031575', '1034279', '1034282', '1036243', '1041482', '1043201', '1046265', '1059419', '1059937', '1066462', '1070441', '1082154', '1082162', '1084336', '1090043', '1092149', '1096118', '1125186', '1141406', '1200840', '1205370', '1283273', '1361264', '1382833', '1400705', '1418686', '1427679', '1431836', '1433700', '1439894', '1767388', '1793713', '1819974', '1827702', '1962923', '2008972', '2056749', '2062200', '2067299', '2071404', '2131415', '2133074', '2250587', '2256438', '2267883', '2340955', '2977174', '3151990'], ['1008145', '1012747', '1016300', '1024217', '1030052', '1031575', '1036243', '1046265', '1066462', '1082162', '1092149', '1141406', '1283273', '1400705', '1431836', '1767388', '1827702', '2056749', '2071404', '2250587', '2340955']]"
...,"[['1008145', '1011754', '1067907', '1084336', '1090043', '1752755', '1829226', '1914127', '2042966', '3776157', '5317075'], ['1067907', '1752755', '2042966']]"
....,"[['1006881', '1008074', '1012242', '1041111', '1047851', '1213945', '1963310'], ['1012242', '1213945']]"
.....,"[['1008357', '1016003', '1020241', '1022060', '1040211', '1068920', '1075495', '1083428', '1084973', '1085021', '1090043', '1125186', '1361264', '1382838', '1442620', '3239824', '4171951'], ['1020241', '1068920', '1084973', '1125186', '1442620']]"
......,"[['1068920'], []]"
.......,"[['1006004', '1009160', '1012802', '1016300', '1018153', '1049189', '1049219', '1074841', '1080370', '1083257', '1227838', '1291760', '1436348', '1453210', '1461903', '1464442', '1529893', '1596305', '1767945', '1855343', '1914572', '1915536', '1919201', '1926700', '1948502', '1963310', '2062200', '2062430', '2133556', '2143732', '2214350', '2340955', '3103080', '3124525', '3392046', '3598313'], ['1012802', '1049189', '1080370', '1291760', '1461903', '1596305', '1914572', '1926700', '2062200', '2143732', '3103080', '3598313']]"
........,"[['1424694'], []]"
...........,"[['1059419'], []]"
..............................,"[['1082154'], []]"
...............................,"[['1011754', '1029791', '1046265', '1056295', '1056461', '1065970', '1082399', '1082518', '1086249', '1090043', '1313124', '1361263', '1382846', '1400705', '1401425', '1703544', '1858513', '1863930', '1907739', '1970428', '2136484', '2256039'], ['1046265', '1065970', '1086249', '1361263', '1401425', '1863930', '2136484']]"
._,"[['1009257', '1013129', '1039487', '1040104', '1041007', '1071241', '1071794', '1209078', '1336330', '1432596', '1858513', '2035162', '2161892', '2295163'], ['1039487', '1071241', '1336330', '2035162']]"
/,"[['1003000', '1029791', '1050743', '1056315', '1057244', '1082138', '1083003', '1119839', '1427679', '1433379', '1456524', '1464989', '1703544', '1902628', '1963912', '2032117', '2160292', '3642673'], ['1050743', '1082138', '1427679', '1464989', '1963912', '3642673']]"
